N_Accidente;Pais;Ciudad;Fecha;Horario_de_ocurrencia;Urbano/Rural;Tipo_de_Camino;Condiciones_climaticas;Numero_de_vehiculos_involucrados ;Velocidad_Limite;Edad_del_conductor;Sexo_del_conductor;Peatones_involucrados;Ciclistas_involucrados ;Accidente_Grave;Numero_de_lesiones;Numero_de_muertes;Causa_del_accidente;Riesgo_peatones;Joven_inexperto
21;Brasil;Rio De Janeiro;44693;Manana;Urbano;Carretera;Neblinoso;1;116;46;Femenino;0;1;Grave;9;0;Error humano;0;No
22;Brasil;Belo Horizonte;44899;Tarde;Urbano;Calle;Lluvioso;1;99;20;Masculino;0;2;Grave;15;2;Clima;0;Si
23;Brasil;Belo Horizonte;44907;Manana;Urbano;Carretera;Despejado;4;40;72;Masculino;1;0;Grave;15;0;Falla tecnica;40;No
24;Brasil;Salvador de Bahia;44893;Noche;Urbano;Calle;Lluvioso;3;34;40;Femenino;2;2;No grave;3;3;Error humano;68;No
25;Brasil;Sao Paulo;44693;Noche;Urbano;Calle;Nevoso;3;45;22;Masculino;1;1;Grave;14;2;Error humano;45;Si
26;Brasil;Puerto Alegre;44568;Noche;Urbano;Calle;Neblinoso;4;113;59;Femenino;1;2;Grave;8;0;Error humano;113;No
27;Brasil;Puerto Alegre;44657;Noche;Rural;Carretera;Neblinoso;1;40;49;Masculino;2;2;No grave;12;1;Error humano;80;No
28;Brasil;Salvador de Bahia;44592;Noche;Rural;Carretera;Neblinoso;4;72;57;Masculino;2;0;Grave;13;2;Error humano;144;No
29;Brasil;Belo Horizonte;44808;Noche;Rural;Calle;Nevoso;2;70;45;Femenino;1;0;Grave;12;3;Falla tecnica;70;No
30;Brasil;Sao Paulo;44797;Noche;Urbano;Calle;Nevoso;1;113;26;Femenino;1;0;Grave;15;4;Error humano;113;No
31;Brasil;Salvador de Bahia;44712;Noche;Rural;Calle;Neblinoso;1;40;72;Femenino;0;0;Grave;4;2;Error humano;0;No
32;Brasil;Rio De Janeiro;44693;Tarde;Urbano;Calle;Lluvioso;4;118;17;Femenino;0;0;Grave;3;2;Error humano;0;Si
33;Brasil;Sao Paulo;44683;Tarde;Rural;Carretera;Despejado;4;74;72;Femenino;1;1;Grave;8;1;Error humano;74;No
34;Brasil;Puerto Alegre;44897;Noche;Urbano;Calle;Neblinoso;3;74;66;Masculino;2;1;Grave;18;0;Error humano;148;No
35;Brasil;Sao Paulo;44775;Noche;Rural;Carretera;Lluvioso;2;86;48;Femenino;0;1;Grave;17;4;Clima;0;No
36;Brasil;Salvador de Bahia;44623;Noche;Rural;Carretera;Neblinoso;3;57;43;Masculino;0;0;Grave;6;4;Falla tecnica;0;No
37;Brasil;Sao Paulo;44604;Manana;Urbano;Calle;Neblinoso;2;60;26;Masculino;1;2;No grave;12;1;Error humano;60;No
38;Brasil;Salvador de Bahia;44716;Tarde;Urbano;Calle;Despejado;4;68;17;Masculino;1;0;Grave;0;3;Falla tecnica;68;Si
39;Brasil;Salvador de Bahia;44714;Manana;Rural;Carretera;Despejado;4;103;70;Femenino;1;2;Grave;12;1;Error humano;103;No
40;Brasil;Salvador de Bahia;44806;Noche;Urbano;Calle;Nevoso;3;36;17;Masculino;1;2;No grave;6;0;Falla tecnica;36;Si
41;Brasil;Rio De Janeiro;44687;Manana;Rural;Carretera;Despejado;1;85;51;Femenino;0;0;Grave;7;1;Error humano;0;No
42;Brasil;Sao Paulo;44926;Tarde;Urbano;Carretera;Lluvioso;3;107;16;Femenino;2;0;Grave;17;3;Error humano;214;Si
43;Brasil;Belo Horizonte;44893;Tarde;Rural;Carretera;Neblinoso;4;39;75;Masculino;2;2;Grave;6;0;Error humano;78;No
44;Brasil;Rio De Janeiro;44900;Noche;Urbano;Carretera;Lluvioso;3;82;64;Masculino;0;0;Grave;10;2;Error humano;0;No
45;Brasil;Rio De Janeiro;44744;Manana;Rural;Carretera;Lluvioso;1;57;67;Femenino;0;0;No grave;11;0;Clima;0;No
46;Brasil;Puerto Alegre;44748;Manana;Urbano;Calle;Neblinoso;3;73;16;Masculino;2;1;Grave;6;0;Clima;146;Si
47;Brasil;Belo Horizonte;44740;Noche;Urbano;Carretera;Lluvioso;3;65;17;Masculino;2;2;Grave;0;3;Clima;130;Si
48;Brasil;Salvador de Bahia;44775;Manana;Urbano;Carretera;Nevoso;2;103;65;Masculino;1;2;Grave;1;3;Error humano;103;No
49;Brasil;Salvador de Bahia;44622;Tarde;Rural;Calle;Nevoso;4;108;66;Masculino;0;0;Grave;7;1;Error humano;0;No
50;Brasil;Puerto Alegre;44687;Noche;Urbano;Calle;Nevoso;3;90;25;Femenino;2;2;Grave;2;0;Error humano;180;Si
51;Brasil;Salvador de Bahia;44877;Noche;Rural;Carretera;Despejado;2;67;58;Femenino;2;2;Grave;8;1;Error humano;134;No
52;Brasil;Sao Paulo;44585;Tarde;Urbano;Calle;Lluvioso;1;115;21;Masculino;2;1;Grave;16;2;Error humano;230;Si
53;Brasil;Belo Horizonte;44624;Tarde;Urbano;Calle;Nevoso;4;65;25;Femenino;1;1;No grave;15;3;Error humano;65;Si
54;Brasil;Puerto Alegre;44870;Noche;Urbano;Carretera;Lluvioso;4;40;17;Masculino;0;1;Grave;18;4;Error humano;0;Si
55;Brasil;Sao Paulo;44594;Tarde;Urbano;Calle;Despejado;1;89;20;Femenino;1;0;Grave;9;4;Error humano;89;Si
56;Brasil;Belo Horizonte;44744;Noche;Urbano;Calle;Despejado;1;32;28;Masculino;2;2;Grave;19;3;Clima;64;No
57;Brasil;Salvador de Bahia;44675;Noche;Urbano;Calle;Neblinoso;2;108;28;Masculino;1;1;Grave;16;1;Error humano;108;No
58;Brasil;Belo Horizonte;44644;Noche;Rural;Calle;Neblinoso;2;94;40;Masculino;1;1;Grave;16;2;Error humano;94;No
59;Brasil;Sao Paulo;44594;Tarde;Rural;Carretera;Nevoso;3;62;72;Masculino;2;0;No grave;18;2;Clima;124;No
60;Brasil;Belo Horizonte;44620;Noche;Rural;Carretera;Despejado;4;75;64;Masculino;2;0;Grave;16;2;Falla tecnica;150;No
61;Brasil;Rio De Janeiro;44743;Noche;Rural;Carretera;Lluvioso;1;77;66;Masculino;2;0;Grave;18;4;Error humano;154;No
62;Brasil;Rio De Janeiro;44620;Manana;Urbano;Calle;Lluvioso;3;95;16;Masculino;0;0;Grave;13;3;Clima;0;Si
63;Brasil;Sao Paulo;44740;Tarde;Urbano;Calle;Neblinoso;1;44;50;Femenino;0;2;No grave;10;4;Error humano;0;No
64;Brasil;Belo Horizonte;44871;Noche;Urbano;Calle;Despejado;3;44;48;Masculino;1;2;No grave;7;4;Error humano;44;No
65;Brasil;Salvador de Bahia;44776;Tarde;Urbano;Carretera;Lluvioso;1;51;54;Masculino;2;1;No grave;2;4;Clima;102;No
66;Brasil;Sao Paulo;44806;Noche;Urbano;Calle;Neblinoso;3;45;24;Masculino;2;0;Grave;12;2;Clima;90;Si
67;Brasil;Salvador de Bahia;44566;Noche;Urbano;Calle;Nevoso;1;85;30;Masculino;0;1;Grave;1;3;Clima;0;No
68;Brasil;Salvador de Bahia;44563;Tarde;Urbano;Carretera;Nevoso;1;44;28;Femenino;1;2;Grave;11;3;Error humano;44;No
69;Brasil;Salvador de Bahia;44719;Noche;Rural;Carretera;Nevoso;2;54;57;Masculino;1;2;Grave;9;0;Error humano;54;No
70;Brasil;Sao Paulo;44712;Noche;Urbano;Calle;Lluvioso;2;34;29;Masculino;1;2;Grave;1;2;Clima;34;No
71;Brasil;Sao Paulo;44599;Tarde;Rural;Carretera;Neblinoso;2;102;56;Masculino;1;2;Grave;6;0;Error humano;102;No
72;Brasil;Puerto Alegre;44712;Tarde;Urbano;Carretera;Lluvioso;4;81;71;Femenino;2;1;Grave;11;2;Error humano;162;No
73;Brasil;Salvador de Bahia;44865;Manana;Urbano;Calle;Lluvioso;3;76;21;Masculino;0;2;Grave;4;4;Error humano;0;Si
74;Brasil;Belo Horizonte;44652;Noche;Urbano;Calle;Lluvioso;4;70;19;Femenino;0;0;No grave;5;4;Error humano;0;Si
75;Brasil;Belo Horizonte;44632;Manana;Rural;Calle;Despejado;4;46;39;Femenino;1;0;Grave;8;3;Error humano;46;No
76;Brasil;Salvador de Bahia;44567;Tarde;Urbano;Carretera;Neblinoso;2;70;17;Femenino;0;0;No grave;13;4;Error humano;0;Si
77;Brasil;Rio De Janeiro;44776;Noche;Rural;Carretera;Lluvioso;2;75;55;Masculino;0;2;Grave;6;1;Error humano;0;No
78;Brasil;Puerto Alegre;44573;Manana;Urbano;Carretera;Lluvioso;3;47;68;Femenino;1;1;No grave;13;3;Error humano;47;No
79;Brasil;Sao Paulo;44565;Manana;Urbano;Calle;Neblinoso;3;31;31;Masculino;2;1;Grave;5;2;Error humano;62;No
80;Brasil;Salvador de Bahia;44846;Noche;Urbano;Carretera;Lluvioso;3;90;16;Femenino;2;1;Grave;18;2;Error humano;180;Si
81;Brasil;Rio De Janeiro;44604;Noche;Urbano;Calle;Lluvioso;1;84;16;Femenino;2;2;Grave;9;3;Falla tecnica;168;Si
82;Brasil;Sao Paulo;44651;Tarde;Urbano;Calle;Neblinoso;2;90;16;Masculino;2;1;Grave;16;1;Clima;180;Si
83;Brasil;Salvador de Bahia;44919;Noche;Urbano;Calle;Nevoso;4;100;36;Femenino;0;0;Grave;10;2;Error humano;0;No
84;Brasil;Sao Paulo;44663;Manana;Urbano;Calle;Despejado;1;36;33;Femenino;2;0;No grave;8;0;Clima;72;No
85;Brasil;Salvador de Bahia;44713;Manana;Urbano;Calle;Despejado;4;57;74;Masculino;1;2;No grave;10;0;Clima;57;No
86;Brasil;Rio De Janeiro;44841;Manana;Urbano;Carretera;Despejado;3;109;37;Masculino;2;0;Grave;7;4;Error humano;218;No
87;Brasil;Belo Horizonte;44564;Manana;Rural;Carretera;Neblinoso;2;43;37;Femenino;2;1;Grave;5;2;Error humano;86;No
88;Brasil;Salvador de Bahia;44744;Noche;Urbano;Calle;Neblinoso;4;65;17;Masculino;0;2;Grave;10;2;Clima;0;Si
89;Brasil;Salvador de Bahia;44719;Noche;Urbano;Carretera;Nevoso;4;81;68;Masculino;1;0;Grave;1;3;Falla tecnica;81;No
90;Brasil;Belo Horizonte;44766;Noche;Urbano;Carretera;Lluvioso;1;64;17;Masculino;2;1;Grave;16;2;Error humano;128;Si
91;Brasil;Rio De Janeiro;44832;Tarde;Urbano;Calle;Lluvioso;1;55;46;Masculino;0;2;Grave;5;1;Clima;0;No
92;Brasil;Salvador de Bahia;44621;Noche;Urbano;Calle;Nevoso;3;63;20;Masculino;2;0;Grave;9;1;Error humano;126;Si
93;Brasil;Puerto Alegre;44809;Noche;Urbano;Calle;Lluvioso;3;72;33;Femenino;0;2;Grave;15;4;Error humano;0;No
94;Brasil;Belo Horizonte;44841;Noche;Urbano;Calle;Nevoso;4;112;20;Femenino;1;1;Grave;11;4;Error humano;112;Si
95;Brasil;Salvador de Bahia;44785;Noche;Urbano;Carretera;Lluvioso;4;59;66;Femenino;1;1;No grave;4;3;Error humano;59;No
96;Brasil;Rio De Janeiro;44592;Noche;Urbano;Carretera;Despejado;1;93;35;Masculino;0;2;Grave;11;1;Error humano;0;No
97;Brasil;Puerto Alegre;44808;Noche;Urbano;Calle;Lluvioso;4;88;19;Masculino;0;2;Grave;1;3;Error humano;0;Si
98;Brasil;Belo Horizonte;44841;Tarde;Urbano;Carretera;Nevoso;1;57;66;Femenino;1;0;No grave;17;2;Error humano;57;No
99;Brasil;Puerto Alegre;44897;Tarde;Rural;Calle;Neblinoso;2;44;41;Femenino;1;1;No grave;10;1;Error humano;44;No
100;Brasil;Sao Paulo;44838;Noche;Urbano;Calle;Lluvioso;4;31;31;Masculino;0;1;Grave;0;2;Error humano;0;No
101;Brasil;Sao Paulo;44805;Noche;Urbano;Calle;Neblinoso;3;41;17;Masculino;0;2;No grave;0;1;Clima;0;Si
102;Brasil;Rio De Janeiro;44714;Noche;Rural;Calle;Despejado;3;50;39;Masculino;2;0;Grave;11;0;Clima;100;No
103;Brasil;Rio De Janeiro;44865;Noche;Urbano;Carretera;Neblinoso;4;52;18;Femenino;0;1;No grave;18;3;Falla tecnica;0;Si
104;Brasil;Salvador de Bahia;44592;Manana;Rural;Calle;Lluvioso;2;60;73;Masculino;0;1;Grave;10;2;Error humano;0;No
105;Brasil;Puerto Alegre;44807;Noche;Urbano;Calle;Neblinoso;3;50;17;Masculino;1;2;Grave;9;0;Clima;50;Si
106;Brasil;Salvador de Bahia;44616;Noche;Urbano;Carretera;Lluvioso;3;97;55;Femenino;1;0;Grave;0;2;Error humano;97;No
107;Brasil;Rio De Janeiro;44655;Manana;Urbano;Carretera;Neblinoso;3;87;42;Masculino;2;1;Grave;6;1;Clima;174;No
108;Brasil;Sao Paulo;44685;Noche;Rural;Carretera;Nevoso;2;61;73;Masculino;1;2;No grave;9;3;Error humano;61;No
109;Brasil;Belo Horizonte;44867;Noche;Rural;Calle;Neblinoso;1;84;74;Masculino;2;2;Grave;4;3;Error humano;168;No
110;Brasil;Puerto Alegre;44622;Manana;Urbano;Calle;Lluvioso;1;113;72;Femenino;2;0;Grave;15;1;Error humano;226;No
111;Brasil;Salvador de Bahia;44653;Manana;Urbano;Carretera;Nevoso;2;93;55;Masculino;2;1;Grave;16;3;Clima;186;No
112;Brasil;Salvador de Bahia;44777;Noche;Urbano;Calle;Lluvioso;1;54;20;Masculino;0;0;No grave;8;3;Error humano;0;Si
113;Brasil;Sao Paulo;44877;Noche;Urbano;Calle;Lluvioso;1;107;19;Femenino;0;1;Grave;2;3;Error humano;0;Si
114;Brasil;Rio De Janeiro;44719;Tarde;Rural;Carretera;Neblinoso;2;47;73;Masculino;1;1;No grave;16;2;Error humano;47;No
115;Brasil;Sao Paulo;44620;Noche;Urbano;Calle;Nevoso;1;71;16;Masculino;2;0;Grave;0;1;Error humano;142;Si
116;Brasil;Rio De Janeiro;44743;Manana;Urbano;Carretera;Lluvioso;1;90;21;Femenino;0;1;Grave;0;4;Error humano;0;Si
117;Brasil;Rio De Janeiro;44624;Noche;Urbano;Carretera;Despejado;2;85;16;Masculino;0;2;Grave;13;1;Clima;0;Si
118;Brasil;Sao Paulo;44594;Noche;Urbano;Carretera;Nevoso;1;90;72;Femenino;1;2;Grave;17;3;Error humano;90;No
119;Brasil;Belo Horizonte;44684;Noche;Rural;Carretera;Nevoso;1;36;74;Femenino;0;0;No grave;5;2;Error humano;0;No
120;Brasil;Puerto Alegre;44599;Manana;Urbano;Calle;Lluvioso;2;89;62;Masculino;2;0;Grave;13;1;Error humano;178;No
121;Brasil;Salvador de Bahia;44785;Manana;Urbano;Carretera;Lluvioso;1;57;54;Masculino;1;1;No grave;14;1;Error humano;57;No
122;Brasil;Belo Horizonte;44622;Noche;Urbano;Carretera;Lluvioso;1;36;24;Masculino;2;2;No grave;11;3;Error humano;72;Si
123;Brasil;Rio De Janeiro;44604;Noche;Urbano;Calle;Neblinoso;1;42;17;Femenino;0;0;Grave;12;1;Clima;0;Si
124;Brasil;Sao Paulo;44567;Noche;Rural;Calle;Neblinoso;2;76;62;Femenino;0;1;Grave;16;3;Error humano;0;No
125;Brasil;Puerto Alegre;44838;Tarde;Urbano;Carretera;Neblinoso;4;48;54;Masculino;1;2;No grave;19;1;Clima;48;No
126;Brasil;Sao Paulo;44743;Noche;Rural;Calle;Lluvioso;1;97;36;Femenino;0;1;Grave;4;0;Error humano;0;No
127;Brasil;Sao Paulo;44714;Manana;Urbano;Calle;Neblinoso;2;55;29;Masculino;0;2;No grave;19;3;Clima;0;No
128;Brasil;Rio De Janeiro;44839;Manana;Urbano;Carretera;Lluvioso;2;69;70;Femenino;0;2;Grave;16;0;Error humano;0;No
129;Brasil;Rio De Janeiro;44657;Tarde;Rural;Carretera;Despejado;2;96;56;Masculino;1;1;Grave;6;2;Clima;96;No
130;Brasil;Salvador de Bahia;44594;Manana;Urbano;Calle;Despejado;3;50;17;Femenino;0;0;Grave;5;0;Error humano;0;Si
131;Brasil;Belo Horizonte;44604;Noche;Urbano;Carretera;Despejado;3;62;23;Masculino;1;1;No grave;11;1;Error humano;62;Si
132;Brasil;Salvador de Bahia;44746;Tarde;Urbano;Calle;Lluvioso;1;76;17;Masculino;1;2;Grave;15;2;Error humano;76;Si
133;Brasil;Rio De Janeiro;44807;Noche;Rural;Carretera;Nevoso;2;66;66;Femenino;1;2;No grave;19;0;Falla tecnica;66;No
134;Brasil;Rio De Janeiro;44717;Tarde;Urbano;Calle;Nevoso;4;55;69;Masculino;2;2;No grave;5;0;Error humano;110;No
135;Brasil;Rio De Janeiro;44867;Manana;Urbano;Calle;Lluvioso;1;103;51;Femenino;2;2;Grave;10;3;Error humano;206;No
136;Brasil;Puerto Alegre;44682;Tarde;Urbano;Calle;Neblinoso;1;83;18;Masculino;2;0;Grave;11;4;Clima;166;Si
137;Brasil;Rio De Janeiro;44773;Manana;Rural;Carretera;Nevoso;1;98;40;Femenino;0;2;Grave;4;0;Error humano;0;No
138;Brasil;Belo Horizonte;44693;Tarde;Urbano;Calle;Neblinoso;1;67;16;Femenino;1;1;No grave;4;2;Error humano;67;Si
139;Brasil;Rio De Janeiro;44902;Tarde;Rural;Carretera;Neblinoso;1;108;72;Masculino;2;0;Grave;10;1;Error humano;216;No
140;Brasil;Rio De Janeiro;44626;Noche;Urbano;Carretera;Lluvioso;3;71;17;Masculino;0;0;Grave;3;3;Falla tecnica;0;Si
141;Brasil;Rio De Janeiro;44748;Noche;Rural;Carretera;Neblinoso;1;112;65;Masculino;2;1;Grave;2;4;Error humano;224;No
142;Brasil;Puerto Alegre;44565;Noche;Urbano;Carretera;Neblinoso;4;97;23;Masculino;2;0;Grave;10;3;Error humano;194;Si
143;Brasil;Rio De Janeiro;44811;Noche;Urbano;Calle;Neblinoso;4;89;35;Masculino;1;0;Grave;13;1;Error humano;89;No
144;Brasil;Rio De Janeiro;44682;Noche;Urbano;Calle;Neblinoso;4;62;70;Femenino;1;2;Grave;14;0;Error humano;62;No
145;Brasil;Belo Horizonte;44624;Tarde;Urbano;Calle;Nevoso;4;34;21;Masculino;2;1;No grave;10;3;Error humano;68;Si
146;Brasil;Sao Paulo;44867;Noche;Urbano;Carretera;Lluvioso;2;106;18;Femenino;1;2;Grave;9;1;Error humano;106;Si
147;Brasil;Sao Paulo;44775;Noche;Urbano;Carretera;Lluvioso;2;92;16;Masculino;0;1;Grave;12;3;Error humano;0;Si
148;Brasil;Belo Horizonte;44714;Noche;Urbano;Carretera;Lluvioso;3;110;19;Masculino;2;2;Grave;7;4;Error humano;220;Si
149;Brasil;Sao Paulo;44877;Noche;Urbano;Calle;Neblinoso;2;110;55;Femenino;0;0;Grave;6;1;Error humano;0;No
150;Brasil;Puerto Alegre;44866;Noche;Urbano;Carretera;Lluvioso;1;109;30;Masculino;1;2;Grave;4;1;Error humano;109;No
151;Brasil;Rio De Janeiro;44566;Tarde;Urbano;Calle;Neblinoso;3;111;63;Femenino;0;2;Grave;4;3;Error humano;0;No
152;Brasil;Salvador de Bahia;44714;Tarde;Rural;Calle;Neblinoso;3;103;73;Femenino;2;2;Grave;19;4;Error humano;206;No
153;Brasil;Sao Paulo;44807;Noche;Urbano;Carretera;Lluvioso;1;100;18;Femenino;2;0;Grave;11;0;Error humano;200;Si
154;Brasil;Salvador de Bahia;44740;Noche;Urbano;Carretera;Nevoso;4;47;17;Masculino;2;1;Grave;19;2;Error humano;94;Si
155;Brasil;Puerto Alegre;44654;Manana;Urbano;Calle;Lluvioso;4;76;20;Femenino;1;1;Grave;4;4;Error humano;76;Si
156;Brasil;Belo Horizonte;44872;Noche;Urbano;Calle;Lluvioso;1;72;34;Femenino;2;2;Grave;9;3;Falla tecnica;144;No
157;Brasil;Salvador de Bahia;44774;Noche;Urbano;Calle;Neblinoso;1;60;31;Masculino;0;0;No grave;5;0;Falla tecnica;0;No
158;Brasil;Belo Horizonte;44688;Noche;Rural;Calle;Nevoso;2;113;61;Masculino;2;0;Grave;8;4;Error humano;226;No
159;Brasil;Puerto Alegre;44573;Noche;Urbano;Calle;Neblinoso;1;70;17;Femenino;2;1;Grave;15;4;Clima;140;Si
160;Brasil;Sao Paulo;44775;Manana;Urbano;Carretera;Neblinoso;3;102;54;Masculino;2;0;Grave;14;1;Error humano;204;No
161;Brasil;Sao Paulo;44592;Tarde;Urbano;Calle;Lluvioso;2;45;26;Femenino;2;0;Grave;5;4;Error humano;90;No
162;Brasil;Salvador de Bahia;44714;Tarde;Urbano;Calle;Nevoso;4;45;19;Femenino;1;2;Grave;3;1;Error humano;45;Si
163;Brasil;Sao Paulo;44594;Manana;Urbano;Calle;Despejado;1;114;25;Masculino;2;2;Grave;14;3;Error humano;228;Si
164;Brasil;Rio De Janeiro;44714;Manana;Rural;Carretera;Despejado;4;101;71;Masculino;2;2;Grave;8;4;Error humano;202;No
165;Brasil;Salvador de Bahia;44712;Manana;Urbano;Calle;Lluvioso;4;100;18;Masculino;1;1;Grave;9;3;Error humano;100;Si
166;Brasil;Puerto Alegre;44679;Noche;Urbano;Carretera;Nevoso;1;55;17;Femenino;1;1;No grave;8;2;Error humano;55;Si
167;Brasil;Belo Horizonte;44585;Manana;Rural;Carretera;Nevoso;1;81;74;Femenino;1;2;Grave;4;4;Error humano;81;No
168;Brasil;Belo Horizonte;44744;Manana;Urbano;Calle;Lluvioso;1;37;27;Femenino;2;2;Grave;8;1;Clima;74;No
169;Brasil;Rio De Janeiro;44926;Manana;Urbano;Calle;Lluvioso;3;55;20;Femenino;2;2;Grave;5;4;Error humano;110;Si
170;Brasil;Puerto Alegre;44566;Manana;Rural;Calle;Lluvioso;3;114;39;Femenino;0;2;Grave;12;1;Error humano;0;No
171;Brasil;Sao Paulo;44775;Noche;Rural;Carretera;Neblinoso;4;87;56;Femenino;1;0;Grave;11;4;Falla tecnica;87;No
172;Brasil;Rio De Janeiro;44766;Manana;Rural;Carretera;Lluvioso;2;92;73;Masculino;2;2;Grave;16;0;Clima;184;No
173;Brasil;Puerto Alegre;44869;Noche;Urbano;Carretera;Nevoso;2;30;65;Femenino;1;1;No grave;1;0;Error humano;30;No
174;Brasil;Rio De Janeiro;44594;Noche;Urbano;Carretera;Lluvioso;3;74;17;Masculino;2;1;Grave;13;4;Error humano;148;Si
175;Brasil;Puerto Alegre;44622;Manana;Urbano;Calle;Despejado;2;118;63;Masculino;1;0;Grave;3;3;Error humano;118;No
176;Brasil;Puerto Alegre;44748;Manana;Urbano;Calle;Despejado;2;118;16;Masculino;0;2;Grave;12;2;Error humano;0;Si
177;Brasil;Belo Horizonte;44902;Tarde;Urbano;Calle;Despejado;4;119;69;Femenino;1;1;Grave;1;4;Error humano;119;No
178;Brasil;Sao Paulo;44653;Noche;Rural;Calle;Neblinoso;2;89;35;Femenino;1;0;Grave;19;3;Error humano;89;No
179;Brasil;Rio De Janeiro;44836;Tarde;Urbano;Carretera;Despejado;1;79;65;Masculino;2;2;Grave;10;2;Clima;158;No
180;Brasil;Rio De Janeiro;44562;Noche;Urbano;Calle;Despejado;2;86;46;Masculino;2;2;Grave;6;1;Error humano;172;No
181;Brasil;Belo Horizonte;44836;Tarde;Urbano;Carretera;Nevoso;3;54;16;Masculino;2;2;No grave;8;3;Clima;108;Si
182;Brasil;Salvador de Bahia;44773;Manana;Rural;Calle;Despejado;2;107;56;Femenino;2;0;Grave;5;2;Error humano;214;No
183;Brasil;Belo Horizonte;44896;Tarde;Urbano;Carretera;Neblinoso;3;118;35;Masculino;0;0;Grave;5;0;Error humano;0;No
184;Brasil;Belo Horizonte;44632;Noche;Urbano;Carretera;Despejado;4;108;16;Masculino;0;1;Grave;14;0;Error humano;0;Si
185;Brasil;Belo Horizonte;44836;Manana;Urbano;Carretera;Nevoso;4;42;24;Masculino;2;2;Grave;7;3;Error humano;84;Si
186;Brasil;Belo Horizonte;44716;Tarde;Urbano;Carretera;Neblinoso;1;79;21;Masculino;2;0;Grave;4;3;Error humano;158;Si
187;Brasil;Belo Horizonte;44797;Noche;Urbano;Carretera;Nevoso;1;72;17;Femenino;0;2;Grave;2;4;Error humano;0;Si
188;Brasil;Rio De Janeiro;44736;Noche;Rural;Carretera;Nevoso;3;84;61;Masculino;0;1;Grave;6;4;Clima;0;No
189;Brasil;Sao Paulo;44598;Tarde;Urbano;Carretera;Nevoso;3;75;72;Masculino;2;0;Grave;15;4;Error humano;150;No
190;Brasil;Rio De Janeiro;44632;Manana;Rural;Calle;Lluvioso;2;102;44;Masculino;2;2;Grave;17;2;Error humano;204;No
