N_Accidente;Pais;Ciudad;Fecha;Horario_de_ocurrencia;Urbano/Rural;Tipo_de_Camino;Condiciones_climaticas;Numero_de_vehiculos_involucrados ;Velocidad_Limite;Edad_del_conductor;Sexo_del_conductor;Peatones_involucrados;Ciclistas_involucrados ;Gravedad_del_accidente;Numero_de_lesiones;Numero_de_muertes;Causa_del_accidente
21;Brasil;Rio De Janeiro;12-05-2022;Manana;Urbano;Carretera;Neblinoso;1;116;46;Femenino;0;1;Grave;9;0;Clima
22;Brasil;Belo Horizonte;04-12-2022;Tarde;Rural;Carretera principal;Lluvioso;1;99;20;Masculino;0;2;No Grave;15;2;Clima
23;Brasil;Belo Horizonte;12-12-2022;Manana;Urbano;Carretera;Despejado;4;40;72;Masculino;1;0;Grave;15;0;Falla mecanica
24;Brasil;Salvador de Bahia;28-11-2022;Noche;Urbano;Carretera principal;Lluvioso;3;34;40;Femenino;2;2;No Grave;3;3;Conducir distraido
25;Brasil;Sao Paulo;12-05-2022;Noche;Urbano;Calle;Nevoso;3;45;22;Masculino;1;1;Grave;14;2;Conducir en estado de ebriedad
26;Brasil;Puerto Alegre;07-01-2022;Noche;Urbano;Calle;Neblinoso;4;113;59;Femenino;1;2;Grave;8;0;Clima
27;Brasil;Puerto Alegre;06-04-2022;Noche;Rural;Carretera;Neblinoso;1;40;49;Masculino;2;2;No Grave;12;1;Exceso de velocidad
28;Brasil;Salvador de Bahia;31-01-2022;Noche;Rural;Carretera;Neblinoso;4;72;57;Masculino;2;0;Grave;13;2;Conducir distraido
29;Brasil;Belo Horizonte;04-09-2022;Noche;Rural;Calle;Nevoso;2;70;45;Femenino;1;0;Grave;12;3;Falla mecanica
30;Brasil;Sao Paulo;24-08-2022;Noche;Rural;Calle;Nevoso;1;113;26;Femenino;1;0;Grave;15;4;Exceso de velocidad
31;Brasil;Salvador de Bahia;31-05-2022;Noche;Rural;Calle;Neblinoso;1;40;72;Femenino;0;0;Grave;4;2;Exceso de velocidad
32;Brasil;Rio De Janeiro;12-05-2022;Tarde;Rural;Carretera principal;Ventoso;4;118;17;Femenino;0;0;No Grave;3;2;Exceso de velocidad
33;Brasil;Sao Paulo;02-05-2022;Tarde;Rural;Carretera;Despejado;4;74;72;Femenino;1;1;Grave;8;1;Exceso de velocidad
34;Brasil;Puerto Alegre;02-12-2022;Noche;Urbano;Calle;Neblinoso;3;74;66;Masculino;2;1;Grave;18;0;Conducir en estado de ebriedad
35;Brasil;Sao Paulo;02-08-2022;Noche;Rural;Carretera;Lluvioso;2;86;48;Femenino;0;1;Grave;17;4;Clima
36;Brasil;Salvador de Bahia;03-03-2022;Noche;Rural;Carretera;Neblinoso;3;57;43;Masculino;0;0;Grave;6;4;Falla mecanica
37;Brasil;Sao Paulo;12-02-2022;Manana;Urbano;Carretera principal;Neblinoso;2;60;26;Masculino;1;2;No Grave;12;1;Conducir en estado de ebriedad
38;Brasil;Salvador de Bahia;04-06-2022;Tarde;Rural;Carretera principal;Despejado;4;68;17;Masculino;1;0;Grave;0;3;Falla mecanica
39;Brasil;Salvador de Bahia;02-06-2022;Manana;Rural;Carretera principal;Despejado;4;103;70;Femenino;1;2;Grave;12;1;Falla mecanica
40;Brasil;Salvador de Bahia;02-09-2022;Noche;Urbano;Carretera principal;Nevoso;3;36;17;Masculino;1;2;No Grave;6;0;Falla mecanica
41;Brasil;Rio De Janeiro;06-05-2022;Manana;Rural;Carretera principal;Despejado;1;85;51;Femenino;0;0;No Grave;7;1;Exceso de velocidad
42;Brasil;Sao Paulo;31-12-2022;Tarde;Rural;Carretera;Ventoso;3;107;16;Femenino;2;0;Grave;17;3;Conducir en estado de ebriedad
43;Brasil;Belo Horizonte;28-11-2022;Tarde;Rural;Carretera;Neblinoso;4;39;75;Masculino;2;2;Grave;6;0;Conducir en estado de ebriedad
44;Brasil;Rio De Janeiro;05-12-2022;Noche;Urbano;Carretera principal;Ventoso;3;82;64;Masculino;0;0;No Grave;10;2;Conducir distraido
45;Brasil;Rio De Janeiro;02-07-2022;Manana;Rural;Carretera principal;Ventoso;1;57;67;Femenino;0;0;No Grave;11;0;Clima
46;Brasil;Puerto Alegre;06-07-2022;Manana;Rural;Carretera principal;Neblinoso;3;73;16;Masculino;2;1;Grave;6;0;Clima
47;Brasil;Belo Horizonte;28-06-2022;Noche;Urbano;Carretera;Ventoso;3;65;17;Masculino;2;2;Grave;0;3;Clima
48;Brasil;Salvador de Bahia;02-08-2022;Manana;Urbano;Carretera;Nevoso;2;103;65;Masculino;1;2;Grave;1;3;Conducir en estado de ebriedad
49;Brasil;Salvador de Bahia;02-03-2022;Tarde;Rural;Calle;Nevoso;4;108;66;Masculino;0;0;Grave;7;1;Conducir en estado de ebriedad
50;Brasil;Puerto Alegre;06-05-2022;Noche;Urbano;Carretera principal;Nevoso;3;90;25;Femenino;2;2;Grave;2;0;Conducir en estado de ebriedad
51;Brasil;Salvador de Bahia;12-11-2022;Noche;Rural;Carretera;Despejado;2;67;58;Femenino;2;2;Grave;8;1;Exceso de velocidad
52;Brasil;Sao Paulo;24-01-2022;Tarde;Urbano;Carretera principal;Lluvioso;1;115;21;Masculino;2;1;No Grave;16;2;Falla mecanica
53;Brasil;Belo Horizonte;04-03-2022;Tarde;Urbano;Carretera principal;Nevoso;4;65;25;Femenino;1;1;No Grave;15;3;Conducir distraido
54;Brasil;Puerto Alegre;05-11-2022;Noche;Urbano;Carretera;Ventoso;4;40;17;Masculino;0;1;Grave;18;4;Conducir distraido
55;Brasil;Sao Paulo;02-02-2022;Tarde;Rural;Carretera principal;Despejado;1;89;20;Femenino;1;0;Grave;9;4;Exceso de velocidad
56;Brasil;Belo Horizonte;02-07-2022;Noche;Rural;Calle;Despejado;1;32;28;Masculino;2;2;Grave;19;3;Clima
57;Brasil;Salvador de Bahia;24-04-2022;Noche;Rural;Carretera principal;Neblinoso;2;108;28;Masculino;1;1;No Grave;16;1;Conducir en estado de ebriedad
58;Brasil;Belo Horizonte;24-03-2022;Noche;Rural;Carretera principal;Neblinoso;2;94;40;Masculino;1;1;Grave;16;2;Exceso de velocidad
59;Brasil;Sao Paulo;02-02-2022;Tarde;Rural;Carretera principal;Nevoso;3;62;72;Masculino;2;0;No Grave;18;2;Clima
60;Brasil;Belo Horizonte;28-02-2022;Noche;Rural;Carretera principal;Despejado;4;75;64;Masculino;2;0;Grave;16;2;Falla mecanica
61;Brasil;Rio De Janeiro;01-07-2022;Noche;Rural;Carretera;Ventoso;1;77;66;Masculino;2;0;No Grave;18;4;Conducir en estado de ebriedad
62;Brasil;Rio De Janeiro;28-02-2022;Manana;Urbano;Calle;Lluvioso;3;95;16;Masculino;0;0;Grave;13;3;Clima
63;Brasil;Sao Paulo;28-06-2022;Tarde;Urbano;Carretera principal;Neblinoso;1;44;50;Femenino;0;2;No Grave;10;4;Exceso de velocidad
64;Brasil;Belo Horizonte;06-11-2022;Noche;Urbano;Calle;Despejado;3;44;48;Masculino;1;2;No Grave;7;4;Exceso de velocidad
65;Brasil;Salvador de Bahia;03-08-2022;Tarde;Urbano;Carretera;Lluvioso;1;51;54;Masculino;2;1;Grave;2;4;Clima
66;Brasil;Sao Paulo;02-09-2022;Noche;Urbano;Calle;Neblinoso;3;45;24;Masculino;2;0;Grave;12;2;Clima
67;Brasil;Salvador de Bahia;05-01-2022;Noche;Rural;Calle;Nevoso;1;85;30;Masculino;0;1;Grave;1;3;Clima
68;Brasil;Salvador de Bahia;02-01-2022;Tarde;Rural;Carretera;Nevoso;1;44;28;Femenino;1;2;Grave;11;3;Conducir distraido
69;Brasil;Salvador de Bahia;07-06-2022;Noche;Rural;Carretera principal;Nevoso;2;54;57;Masculino;1;2;Grave;9;0;Conducir distraido
70;Brasil;Sao Paulo;31-05-2022;Noche;Urbano;Calle;Ventoso;2;34;29;Masculino;1;2;Grave;1;2;Clima
71;Brasil;Sao Paulo;07-02-2022;Tarde;Rural;Carretera;Neblinoso;2;102;56;Masculino;1;2;No Grave;6;0;Clima
72;Brasil;Puerto Alegre;31-05-2022;Tarde;Urbano;Carretera;Lluvioso;4;81;71;Femenino;2;1;Grave;11;2;Exceso de velocidad
73;Brasil;Salvador de Bahia;31-10-2022;Manana;Urbano;Carretera principal;Lluvioso;3;76;21;Masculino;0;2;Grave;4;4;Conducir en estado de ebriedad
74;Brasil;Belo Horizonte;01-04-2022;Noche;Urbano;Calle;Ventoso;4;70;19;Femenino;0;0;No Grave;5;4;Conducir en estado de ebriedad
75;Brasil;Belo Horizonte;12-03-2022;Manana;Rural;Calle;Despejado;4;46;39;Femenino;1;0;Grave;8;3;Conducir distraido
76;Brasil;Salvador de Bahia;06-01-2022;Tarde;Rural;Carretera;Neblinoso;2;70;17;Femenino;0;0;No Grave;13;4;Conducir en estado de ebriedad
77;Brasil;Rio De Janeiro;03-08-2022;Noche;Rural;Carretera principal;Ventoso;2;75;55;Masculino;0;2;Grave;6;1;Conducir en estado de ebriedad
78;Brasil;Puerto Alegre;12-01-2022;Manana;Urbano;Carretera;Ventoso;3;47;68;Femenino;1;1;No Grave;13;3;Exceso de velocidad
79;Brasil;Sao Paulo;04-01-2022;Manana;Rural;Calle;Neblinoso;3;31;31;Masculino;2;1;Grave;5;2;Conducir en estado de ebriedad
80;Brasil;Salvador de Bahia;12-10-2022;Noche;Rural;Carretera;Lluvioso;3;90;16;Femenino;2;1;Grave;18;2;Conducir en estado de ebriedad
81;Brasil;Rio De Janeiro;12-02-2022;Noche;Urbano;Carretera principal;Ventoso;1;84;16;Femenino;2;2;Grave;9;3;Falla mecanica
82;Brasil;Sao Paulo;31-03-2022;Tarde;Rural;Carretera principal;Neblinoso;2;90;16;Masculino;2;1;Grave;16;1;Clima
83;Brasil;Salvador de Bahia;24-12-2022;Noche;Urbano;Carretera principal;Nevoso;4;100;36;Femenino;0;0;Grave;10;2;Exceso de velocidad
84;Brasil;Sao Paulo;12-04-2022;Manana;Urbano;Carretera principal;Despejado;1;36;33;Femenino;2;0;No Grave;8;0;Clima
85;Brasil;Salvador de Bahia;01-06-2022;Manana;Urbano;Calle;Despejado;4;57;74;Masculino;1;2;Grave;10;0;Clima
86;Brasil;Rio De Janeiro;07-10-2022;Manana;Urbano;Carretera;Despejado;3;109;37;Masculino;2;0;No Grave;7;4;Exceso de velocidad
87;Brasil;Belo Horizonte;03-01-2022;Manana;Rural;Carretera;Neblinoso;2;43;37;Femenino;2;1;Grave;5;2;Exceso de velocidad
88;Brasil;Salvador de Bahia;02-07-2022;Noche;Urbano;Carretera principal;Neblinoso;4;65;17;Masculino;0;2;Grave;10;2;Clima
89;Brasil;Salvador de Bahia;07-06-2022;Noche;Urbano;Carretera principal;Nevoso;4;81;68;Masculino;1;0;Grave;1;3;Falla mecanica
90;Brasil;Belo Horizonte;24-07-2022;Noche;Rural;Carretera;Lluvioso;1;64;17;Masculino;2;1;Grave;16;2;Exceso de velocidad
91;Brasil;Rio De Janeiro;28-09-2022;Tarde;Urbano;Carretera principal;Ventoso;1;55;46;Masculino;0;2;Grave;5;1;Clima
92;Brasil;Salvador de Bahia;01-03-2022;Noche;Rural;Carretera principal;Nevoso;3;63;20;Masculino;2;0;Grave;9;1;Conducir distraido
93;Brasil;Puerto Alegre;05-09-2022;Noche;Urbano;Carretera principal;Ventoso;3;72;33;Femenino;0;2;Grave;15;4;Conducir en estado de ebriedad
94;Brasil;Belo Horizonte;07-10-2022;Noche;Urbano;Calle;Nevoso;4;112;20;Femenino;1;1;Grave;11;4;Falla mecanica
95;Brasil;Salvador de Bahia;12-08-2022;Noche;Urbano;Carretera principal;Ventoso;4;59;66;Femenino;1;1;No Grave;4;3;Conducir distraido
96;Brasil;Rio De Janeiro;31-01-2022;Noche;Urbano;Carretera;Despejado;1;93;35;Masculino;0;2;Grave;11;1;Conducir distraido
97;Brasil;Puerto Alegre;04-09-2022;Noche;Rural;Calle;Ventoso;4;88;19;Masculino;0;2;Grave;1;3;Conducir en estado de ebriedad
98;Brasil;Belo Horizonte;07-10-2022;Tarde;Urbano;Carretera principal;Nevoso;1;57;66;Femenino;1;0;Grave;17;2;Conducir distraido
99;Brasil;Puerto Alegre;02-12-2022;Tarde;Rural;Calle;Neblinoso;2;44;41;Femenino;1;1;No Grave;10;1;Exceso de velocidad
100;Brasil;Sao Paulo;04-10-2022;Noche;Urbano;Carretera principal;Ventoso;4;31;31;Masculino;0;1;Grave;0;2;Conducir en estado de ebriedad
101;Brasil;Sao Paulo;01-09-2022;Noche;Rural;Calle;Neblinoso;3;41;17;Masculino;0;2;No Grave;0;1;Clima
102;Brasil;Rio De Janeiro;02-06-2022;Noche;Rural;Carretera principal;Despejado;3;50;39;Masculino;2;0;Grave;11;0;Clima
103;Brasil;Rio De Janeiro;31-10-2022;Noche;Urbano;Carretera;Neblinoso;4;52;18;Femenino;0;1;No Grave;18;3;Falla mecanica
104;Brasil;Salvador de Bahia;31-01-2022;Manana;Rural;Calle;Ventoso;2;60;73;Masculino;0;1;Grave;10;2;Exceso de velocidad
105;Brasil;Puerto Alegre;03-09-2022;Noche;Urbano;Carretera principal;Neblinoso;3;50;17;Masculino;1;2;Grave;9;0;Clima
106;Brasil;Salvador de Bahia;24-02-2022;Noche;Urbano;Carretera principal;Lluvioso;3;97;55;Femenino;1;0;Grave;0;2;Conducir en estado de ebriedad
107;Brasil;Rio De Janeiro;04-04-2022;Manana;Urbano;Carretera;Neblinoso;3;87;42;Masculino;2;1;No Grave;6;1;Clima
108;Brasil;Sao Paulo;04-05-2022;Noche;Rural;Carretera principal;Nevoso;2;61;73;Masculino;1;2;No Grave;9;3;Conducir en estado de ebriedad
109;Brasil;Belo Horizonte;02-11-2022;Noche;Rural;Calle;Neblinoso;1;84;74;Masculino;2;2;Grave;4;3;Conducir distraido
110;Brasil;Puerto Alegre;02-03-2022;Manana;Urbano;Calle;Ventoso;1;113;72;Femenino;2;0;Grave;15;1;Clima
111;Brasil;Salvador de Bahia;02-04-2022;Manana;Urbano;Carretera;Nevoso;2;93;55;Masculino;2;1;Grave;16;3;Clima
112;Brasil;Salvador de Bahia;04-08-2022;Noche;Rural;Carretera principal;Lluvioso;1;54;20;Masculino;0;0;No Grave;8;3;Conducir distraido
113;Brasil;Sao Paulo;12-11-2022;Noche;Rural;Carretera principal;Lluvioso;1;107;19;Femenino;0;1;Grave;2;3;Falla mecanica
114;Brasil;Rio De Janeiro;07-06-2022;Tarde;Rural;Carretera;Neblinoso;2;47;73;Masculino;1;1;No Grave;16;2;Exceso de velocidad
115;Brasil;Sao Paulo;28-02-2022;Noche;Rural;Carretera principal;Nevoso;1;71;16;Masculino;2;0;No Grave;0;1;Exceso de velocidad
116;Brasil;Rio De Janeiro;01-07-2022;Manana;Rural;Carretera;Lluvioso;1;90;21;Femenino;0;1;No Grave;0;4;Exceso de velocidad
117;Brasil;Rio De Janeiro;04-03-2022;Noche;Rural;Carretera;Despejado;2;85;16;Masculino;0;2;Grave;13;1;Clima
118;Brasil;Sao Paulo;02-02-2022;Noche;Urbano;Carretera principal;Nevoso;1;90;72;Femenino;1;2;Grave;17;3;Conducir distraido
119;Brasil;Belo Horizonte;03-05-2022;Noche;Rural;Carretera;Nevoso;1;36;74;Femenino;0;0;Grave;5;2;Conducir en estado de ebriedad
120;Brasil;Puerto Alegre;07-02-2022;Manana;Urbano;Calle;Ventoso;2;89;62;Masculino;2;0;No Grave;13;1;Exceso de velocidad
121;Brasil;Salvador de Bahia;12-08-2022;Manana;Urbano;Carretera;Ventoso;1;57;54;Masculino;1;1;No Grave;14;1;Exceso de velocidad
122;Brasil;Belo Horizonte;02-03-2022;Noche;Urbano;Carretera;Ventoso;1;36;24;Masculino;2;2;No Grave;11;3;Conducir distraido
123;Brasil;Rio De Janeiro;12-02-2022;Noche;Urbano;Carretera principal;Neblinoso;1;42;17;Femenino;0;0;Grave;12;1;Clima
124;Brasil;Sao Paulo;06-01-2022;Noche;Rural;Calle;Neblinoso;2;76;62;Femenino;0;1;No Grave;16;3;Exceso de velocidad
125;Brasil;Puerto Alegre;04-10-2022;Tarde;Urbano;Carretera;Neblinoso;4;48;54;Masculino;1;2;Grave;19;1;Clima
126;Brasil;Sao Paulo;01-07-2022;Noche;Rural;Calle;Ventoso;1;97;36;Femenino;0;1;Grave;4;0;Conducir en estado de ebriedad
127;Brasil;Sao Paulo;02-06-2022;Manana;Urbano;Calle;Neblinoso;2;55;29;Masculino;0;2;No Grave;19;3;Clima
128;Brasil;Rio De Janeiro;05-10-2022;Manana;Urbano;Carretera principal;Ventoso;2;69;70;Femenino;0;2;Grave;16;0;Conducir distraido
129;Brasil;Rio De Janeiro;06-04-2022;Tarde;Rural;Carretera;Despejado;2;96;56;Masculino;1;1;No Grave;6;2;Clima
130;Brasil;Salvador de Bahia;02-02-2022;Manana;Urbano;Carretera principal;Despejado;3;50;17;Femenino;0;0;Grave;5;0;Conducir en estado de ebriedad
131;Brasil;Belo Horizonte;12-02-2022;Noche;Urbano;Carretera;Despejado;3;62;23;Masculino;1;1;No Grave;11;1;Conducir en estado de ebriedad
132;Brasil;Salvador de Bahia;04-07-2022;Tarde;Urbano;Carretera principal;Lluvioso;1;76;17;Masculino;1;2;Grave;15;2;Conducir en estado de ebriedad
133;Brasil;Rio De Janeiro;03-09-2022;Noche;Rural;Carretera;Nevoso;2;66;66;Femenino;1;2;Grave;19;0;Falla mecanica
134;Brasil;Rio De Janeiro;05-06-2022;Tarde;Urbano;Calle;Nevoso;4;55;69;Masculino;2;2;Grave;5;0;Conducir en estado de ebriedad
135;Brasil;Rio De Janeiro;02-11-2022;Manana;Urbano;Calle;Ventoso;1;103;51;Femenino;2;2;Grave;10;3;Falla mecanica
136;Brasil;Puerto Alegre;01-05-2022;Tarde;Urbano;Carretera principal;Neblinoso;1;83;18;Masculino;2;0;Grave;11;4;Clima
137;Brasil;Rio De Janeiro;31-07-2022;Manana;Rural;Carretera;Nevoso;1;98;40;Femenino;0;2;Grave;4;0;Exceso de velocidad
138;Brasil;Belo Horizonte;12-05-2022;Tarde;Rural;Calle;Neblinoso;1;67;16;Femenino;1;1;No Grave;4;2;Conducir en estado de ebriedad
139;Brasil;Rio De Janeiro;07-12-2022;Tarde;Rural;Carretera;Neblinoso;1;108;72;Masculino;2;0;No Grave;10;1;Conducir distraido
140;Brasil;Rio De Janeiro;06-03-2022;Noche;Rural;Carretera;Ventoso;3;71;17;Masculino;0;0;Grave;3;3;Falla mecanica
141;Brasil;Rio De Janeiro;06-07-2022;Noche;Rural;Carretera principal;Neblinoso;1;112;65;Masculino;2;1;No Grave;2;4;Clima
142;Brasil;Puerto Alegre;04-01-2022;Noche;Rural;Carretera;Neblinoso;4;97;23;Masculino;2;0;No Grave;10;3;Conducir en estado de ebriedad
143;Brasil;Rio De Janeiro;07-09-2022;Noche;Urbano;Carretera principal;Neblinoso;4;89;35;Masculino;1;0;Grave;13;1;Conducir en estado de ebriedad
144;Brasil;Rio De Janeiro;01-05-2022;Noche;Urbano;Calle;Neblinoso;4;62;70;Femenino;1;2;Grave;14;0;Exceso de velocidad
145;Brasil;Belo Horizonte;04-03-2022;Tarde;Urbano;Calle;Nevoso;4;34;21;Masculino;2;1;No Grave;10;3;Exceso de velocidad
146;Brasil;Sao Paulo;02-11-2022;Noche;Rural;Carretera;Lluvioso;2;106;18;Femenino;1;2;No Grave;9;1;Conducir distraido
147;Brasil;Sao Paulo;02-08-2022;Noche;Urbano;Carretera;Ventoso;2;92;16;Masculino;0;1;Grave;12;3;Conducir distraido
148;Brasil;Belo Horizonte;02-06-2022;Noche;Rural;Carretera;Lluvioso;3;110;19;Masculino;2;2;No Grave;7;4;Clima
149;Brasil;Sao Paulo;12-11-2022;Noche;Urbano;Calle;Neblinoso;2;110;55;Femenino;0;0;No Grave;6;1;Clima
150;Brasil;Puerto Alegre;01-11-2022;Noche;Rural;Carretera;Lluvioso;1;109;30;Masculino;1;2;Grave;4;1;Conducir distraido
151;Brasil;Rio De Janeiro;05-01-2022;Tarde;Urbano;Calle;Neblinoso;3;111;63;Femenino;0;2;Grave;4;3;Falla mecanica
152;Brasil;Salvador de Bahia;02-06-2022;Tarde;Rural;Calle;Neblinoso;3;103;73;Femenino;2;2;Grave;19;4;Conducir distraido
153;Brasil;Sao Paulo;03-09-2022;Noche;Urbano;Carretera;Lluvioso;1;100;18;Femenino;2;0;No Grave;11;0;Conducir distraido
154;Brasil;Salvador de Bahia;28-06-2022;Noche;Urbano;Carretera;Nevoso;4;47;17;Masculino;2;1;Grave;19;2;Conducir distraido
155;Brasil;Puerto Alegre;03-04-2022;Manana;Urbano;Calle;Lluvioso;4;76;20;Femenino;1;1;Grave;4;4;Exceso de velocidad
156;Brasil;Belo Horizonte;07-11-2022;Noche;Urbano;Carretera principal;Lluvioso;1;72;34;Femenino;2;2;No Grave;9;3;Falla mecanica
157;Brasil;Salvador de Bahia;01-08-2022;Noche;Rural;Calle;Neblinoso;1;60;31;Masculino;0;0;No Grave;5;0;Falla mecanica
158;Brasil;Belo Horizonte;07-05-2022;Noche;Rural;Calle;Nevoso;2;113;61;Masculino;2;0;Grave;8;4;Exceso de velocidad
159;Brasil;Puerto Alegre;12-01-2022;Noche;Rural;Calle;Neblinoso;1;70;17;Femenino;2;1;Grave;15;4;Clima
160;Brasil;Sao Paulo;02-08-2022;Manana;Urbano;Carretera principal;Neblinoso;3;102;54;Masculino;2;0;No Grave;14;1;Conducir en estado de ebriedad
161;Brasil;Sao Paulo;31-01-2022;Tarde;Urbano;Calle;Lluvioso;2;45;26;Femenino;2;0;Grave;5;4;Exceso de velocidad
162;Brasil;Salvador de Bahia;02-06-2022;Tarde;Rural;Carretera principal;Nevoso;4;45;19;Femenino;1;2;Grave;3;1;Conducir distraido
163;Brasil;Sao Paulo;02-02-2022;Manana;Rural;Carretera principal;Despejado;1;114;25;Masculino;2;2;No Grave;14;3;Falla mecanica
164;Brasil;Rio De Janeiro;02-06-2022;Manana;Rural;Carretera;Despejado;4;101;71;Masculino;2;2;No Grave;8;4;Falla mecanica
165;Brasil;Salvador de Bahia;31-05-2022;Manana;Urbano;Calle;Lluvioso;4;100;18;Masculino;1;1;No Grave;9;3;Conducir en estado de ebriedad
166;Brasil;Puerto Alegre;28-04-2022;Noche;Urbano;Carretera;Nevoso;1;55;17;Femenino;1;1;No Grave;8;2;Conducir en estado de ebriedad
167;Brasil;Belo Horizonte;24-01-2022;Manana;Rural;Carretera principal;Nevoso;1;81;74;Femenino;1;2;Grave;4;4;Conducir distraido
168;Brasil;Belo Horizonte;02-07-2022;Manana;Urbano;Carretera principal;Ventoso;1;37;27;Femenino;2;2;Grave;8;1;Clima
169;Brasil;Rio De Janeiro;31-12-2022;Manana;Rural;Calle;Ventoso;3;55;20;Femenino;2;2;Grave;5;4;Conducir distraido
170;Brasil;Puerto Alegre;05-01-2022;Manana;Rural;Carretera principal;Lluvioso;3;114;39;Femenino;0;2;Grave;12;1;Exceso de velocidad
171;Brasil;Sao Paulo;02-08-2022;Noche;Rural;Carretera principal;Neblinoso;4;87;56;Femenino;1;0;Grave;11;4;Falla mecanica
172;Brasil;Rio De Janeiro;24-07-2022;Manana;Rural;Carretera;Ventoso;2;92;73;Masculino;2;2;Grave;16;0;Clima
173;Brasil;Puerto Alegre;04-11-2022;Noche;Urbano;Carretera principal;Nevoso;2;30;65;Femenino;1;1;No Grave;1;0;Exceso de velocidad
174;Brasil;Rio De Janeiro;02-02-2022;Noche;Urbano;Carretera;Ventoso;3;74;17;Masculino;2;1;Grave;13;4;Exceso de velocidad
175;Brasil;Puerto Alegre;02-03-2022;Manana;Urbano;Calle;Despejado;2;118;63;Masculino;1;0;No Grave;3;3;Falla mecanica
176;Brasil;Puerto Alegre;06-07-2022;Manana;Rural;Carretera principal;Despejado;2;118;16;Masculino;0;2;No Grave;12;2;Conducir distraido
177;Brasil;Belo Horizonte;07-12-2022;Tarde;Urbano;Calle;Despejado;4;119;69;Femenino;1;1;Grave;1;4;Falla mecanica
178;Brasil;Sao Paulo;02-04-2022;Noche;Rural;Calle;Neblinoso;2;89;35;Femenino;1;0;No Grave;19;3;Conducir en estado de ebriedad
179;Brasil;Rio De Janeiro;02-10-2022;Tarde;Urbano;Carretera;Despejado;1;79;65;Masculino;2;2;Grave;10;2;Clima
180;Brasil;Rio De Janeiro;01-01-2022;Noche;Urbano;Calle;Despejado;2;86;46;Masculino;2;2;Grave;6;1;Conducir en estado de ebriedad
